"","X","item","price","userid","phonenum"
"94",94,"에어팟2","170,000 원","(qhdnr2****)","010-****-**14"
"279",279,"애플 에어팟 2 무선","150,000 원","(xy28****)","010-****-**14"
"284",284,"아이팟","0 원","()","010-****-**14"
"471",471,"에어팟 2세대","641,000 원","(hot****)","010-****-**14"
"75",75,"갤럭시 버즈","90,000 원","(333305863****)","010-****-**38"
"434",434,"에어팟","170,000 원","()","010-****-**38"
"439",439,"에어팟","160,000 원","()","010-****-**38"
"446",446,"에어팟","160,000 원","(spojo****)","010-****-**38"
"494",494,"삼성전자 기어 아이콘x 2018 오른쪽","30,000 원","()","010-****-**38"
"80",80,"갤럭시 노트5","80,000 원","()","010-****-**36"
"87",87,"갤럭시버즈","100,000 원","()","010-****-**36"
"147",147,"에어팟","120,000 원","()","010-****-**36"
"241",241,"g5","50,000 원","()","010-****-**36"
"278",278,"G6 휴대폰","73,000 원","()","010-****-**36"
"281",281,"g6","73,000 원","()","010-****-**36"
"318",318,"노트5","90,000 원","()","010-****-**36"
"443",443,"아이폰6s 플러스","160,000 원","(qkrt****)","010-****-**36"
"452",452,"갤럭시버즈 케이스","12,000 원","()","010-****-**36"
"481",481,"갤럭시버드","0 원","()","010-****-**36"
"82",82,"아이폰8","360,000 원","(xl****)","010-****-**70"
"84",84,"아이폰8","200,000 원","(xl****)","010-****-**70"
"99",99,"아이퐄","550,000 원","()","010-****-**70"
"490",490,"에어팟 2세대","140,000 원","(****)","010-****-**70"
"96",96,"애어팟 1세대","113,000 원","()","010-****-**16"
"297",297,"아이폰xs","880,000 원","(Jeawo****)","010-****-**16"
"311",311,"아이폰 xs  골드 64gb","880,000 원","(Jeawo****)","010-****-**16"
"100",100,"아이폰7플러스 액정파손","170,000 원","(offb****)","010-****-**30"
"141",141,"아이폰X","500,000 원","()","010-****-**30"
"101",101,"아이폰x","490,000 원","(wetsg****)","010-****-**57"
"116",116,"아이폰 X 64기가 풀박스","500,000 원","()","010-****-**57"
"128",128,"아이패드와 애플펜슬","950,000 원","(qkskd****)","010-****-**57"
"336",336,"노트9, 512GB","420,000 원","()","010-****-**57"
"102",102,"아이패드","1,250,000 원","(****)","010-****-**96"
"115",115,"에어팟2세대","180,000 원","()","010-****-**96"
"217",217,"갤럭시 노트9  실버 512기가 B급","250,000 원","(cantar****)","010-****-**96"
"237",237,"아이폰5s","50,000 원","(cantar****)","010-****-**96"
"106",106,"아이폰7","110,000 원","()","010-****-**79"
"110",110,"아이폰xr128","550,000 원","()","010-****-**99"
"132",132,"아이폰 xr 128g","520,000 원","(jimmy186hayash****)","010-****-**99"
"270",270,"갤럭시버즈","103,000 원","()","010-****-**99"
"329",329,"에어팟1","120,000 원","()","010-****-**99"
"372",372,"삼성 갤럭시버즈 블루투스 이어폰","103,000 원","()","010-****-**99"
"487",487,"LG V35","213,500 원","()","010-****-**99"
"111",111,"에어팟","143,500 원","()","010-****-**55"
"120",120,"갤럭시버즈","100,000 원","()","010-****-**55"
"138",138,"에어팟1세대","143,500 원","()","010-****-**55"
"145",145,"에어팟1세대","130,000 원","()","010-****-**55"
"184",184,"에어팟 1세대","145,000 원","(kd****)","010-****-**55"
"225",225,"아이폰8 스페이스그레이","330,000 원","()","010-****-**55"
"250",250,"에어팟 1세대 미개봉 상품","143,500 원","(psh060****)","010-****-**55"
"252",252,"에어팟1","140,000 원","(kdj****)","010-****-**55"
"324",324,"겔럭시 s10+","750,000 원","(change****)","010-****-**55"
"343",343,"에어팟","145,000 원","(****)","010-****-**55"
"387",387,"에어팟","148,500 원","(kdj****)","010-****-**55"
"418",418,"겔럭시 버드","110,000 원","()","010-****-**55"
"420",420,"갤럭시버드","100,000 원","()","010-****-**55"
"112",112,"노트5","80,000 원","(lovee****)","010-****-**27"
"221",221,"갤럭시 s7","80,000 원","(lovee****)","010-****-**27"
"226",226,"갤럭시 S7","84,000 원","(lovee****)","010-****-**27"
"401",401,"아이폰7","240,000 원","(kissj09****)","010-****-**27"
"436",436,"아이폰7","163,000 원","(zmfpdl****)","010-****-**27"
"117",117,"에어팟 2세대","198,500 원","()","010-****-**40"
"259",259,"갤럭시버즈 이어폰","60,000 원","()","010-****-**40"
"466",466,"Skt 갤럭시워치 46mm lte 미개봉","270,000 원","(lsl****)","010-****-**40"
"118",118,"에어팟","160,000 원","(po****)","010-****-**67"
"190",190,"아이폰","640,000 원","(****)","070-****-**67"
"191",191,"아이폰","3,080,000 원","(****)","070-****-**67"
"192",192,"아이폰","1,920,000 원","(****)","070-****-**67"
"193",193,"아이폰8","5,090,000 원","(****)","070-****-**67"
"194",194,"아이폰8","4,270,000 원","(****)","070-****-**67"
"195",195,"아이폰8 256","5,090,000 원","(****)","070-****-**67"
"203",203,"갤럭시탭","280,000 원","()","010-****-**67"
"122",122,"갤럭시s10","500,000 원","(skylov****)","010-****-**05"
"188",188,"아이폰xr","590,000 원","(zes****)","010-****-**05"
"255",255,"아이폰X 64기가","540,000 원","(jesus****)","010-****-**05"
"269",269,"에어팟30개","4,400,000 원","(dudwlsr****)","010-****-**05"
"293",293,"애플워치4, 에어팟","470,000 원","()","010-****-**05"
"294",294,"아이폰X","600,000 원","()","010-****-**05"
"433",433,"아이폰x","590,000 원","()","010-****-**05"
"440",440,"아이폰","1,000,000 원","(rusi****)","010-****-**05"
"131",131,"에어팟","120,000 원","()","010-****-**84"
"139",139,"아이폰7","183,000 원","(kaita****)","010-****-**84"
"187",187,"아이폰xs","700,000 원","(94****)","010-****-**84"
"134",134,"아이폰se","135,000 원","()","010-****-**10"
"156",156,"블루투스 스피커","35,000 원","()","010-****-**10"
"370",370,"기어핏1","15,000 원","()","010-****-**10"
"485",485,"에어팟","100,000 원","()","010-****-**10"
"136",136,"아이패드미니5","400,000 원","(by****)","010-****-**18"
"152",152,"에어팟1","140,000 원","()","010-****-**18"
"222",222,"에어팟1","150,000 원","()","010-****-**18"
"328",328,"갤럭시워치","180,000 원","()","010-****-**18"
"508",508,"갤럭시 버즈 및 수험서적(피램 국어)","113,000 원","(tpzha****)","010-****-**18"
"142",142,"에어팟","130,000 원","()","010-****-**65"
"317",317,"애플워치","200,000 원","(pop****)","010-****-**65"
"379",379,"갤럭시버즈","100,000 원","(cxzz****)","010-****-**65"
"143",143,"g6","80,000 원","()","010-****-**90"
"253",253,"갤럭시노트5","110,000 원","()","010-****-**90"
"502",502,"버즈","100,000 원","()","010-****-**90"
"154",154,"아이폰X","500,000 원","()","010-****-**00"
"165",165,"갤럭시 우치 46mm","200,000 원","(kjh0****)","010-****-**00"
"183",183,"갤럭시 버즈","103,000 원","(apfjddle****)","010-****-**00"
"286",286,"블루투스이어폰 HBS-1100","33,000 원","()","010-****-**00"
"409",409,"아이폰7","0 원","()","010-****-**00"
"158",158,"에어팟","173,000 원","(ben****)","010-****-**83"
"403",403,"g7 ","2,030,000 원","()","010-****-**83"
"422",422,"휴대폰","350,000 원","()","010-****-**83"
"161",161,"갤럭시 워치 액티브","160,000 원","(jung98****)","010-****-**71"
"331",331,"애플펜슬2세대","120,000 원","()","010-****-**71"
"163",163,"에어팟","110,000 원","()","010-****-**42"
"186",186,"노트9","330,000 원","(gggg****)","010-****-**42"
"325",325,"에어팟","110,000 원","()","010-****-**42"
"164",164,"갤럭시 워치 42mm lte","204,000 원","(yong19****)","010-****-**66"
"289",289,"애플워치","310,000 원","(white8****)","010-****-**66"
"166",166,"갤럭시 버즈","80,000 원","()","010-****-**03"
"245",245,"미스트롯 전주","270,000 원","(bbc****)","010-****-**03"
"425",425,"LG V20","80,000 원","(skadl****)","010-****-**03"
"180",180,"아이패드 프로 3세대","850,000 원","(good7****)","010-****-**33"
"457",457,"마샬 액톤2","167,000 원","(ridiri****)","010-****-**33"
"482",482,"갤럭시 버즈","100,000 원","()","010-****-**33"
"182",182,"아이폰(81만원)","810,000 원","()","010-****-**91"
"198",198,"에어팟1세대","120,000 원","(gusgh****)","010-****-**58"
"257",257,"에어팟1세대","130,000 원","()","010-****-**58"
"264",264,"에어팟","3,000,000 원","(****)","010-****-**58"
"208",208,"갤럭시 버즈","105,000 원","()","010-****-**23"
"210",210,"갤럭시 버즈","100,000 원","()","010-****-**23"
"234",234,"엘지 핸드폰 g7","190,000 원","()","010-****-**23"
"239",239,"g7","195,000 원","(everyhap****)","010-****-**23"
"246",246,"갤럭시 버즈 이어폰","80,000 원","()","010-****-**23"
"268",268,"에어팟","165,000 원","()","010-****-**23"
"288",288,"갤럭시 버즈","110,000 원","()","010-****-**23"
"394",394,"갤럭시버즈","220,000 원","(ren****)","010-****-**23"
"472",472,"에어팟 1세대","150,000 원","()","010-****-**23"
"491",491,"에어팟","150,000 원","()","010-****-**23"
"211",211,"겔럭시 버즈","113,000 원","()","010-****-**63"
"213",213,"갤럭시버즈","113,000 원","()","010-****-**63"
"215",215,"아이폰 x 256기가 스페이스그레이","600,000 원","(xN****)","010-****-**48"
"352",352,"에어팟","105,000 원","()","010-****-**48"
"413",413,"에어팟","100,000 원","(mmh****)","010-****-**48"
"419",419,"에어팟1세대","100,000 원","()","010-****-**48"
"224",224,"아이폰xr","570,000 원","()","010-****-**11"
"227",227,"아이폰XR","580,000 원","(inssa****)","010-****-**11"
"362",362,"기어s3","105,000 원","(lenord****)","010-****-**11"
"435",435,"갤럭시 기어S3 프론티어","80,000 원","()","010-****-**11"
"493",493,"zoom h1n","90,000 원","()","010-****-**11"
"231",231,"갤럭시버즈","95,000 원","(cuh****)","010-****-**69"
"266",266,"갤럭시버즈","103,000 원","(lji98****)","010-****-**69"
"242",242,"아이폰 SE","105,000 원","(Oh****)","010-****-**29"
"282",282,"나훈아 콘서트 티켓","370,000 원","(wj****)","010-****-**29"
"283",283,"갤럭시 버즈","100,000 원","()","010-****-**29"
"432",432,"휴대폰 v35","213,500 원","(Anteen****)","010-****-**29"
"454",454,"lg v35","213,500 원","(Anteen****)","010-****-**29"
"254",254,"하디","0 원","()","010-****-**08"
"256",256,"아이폰 라이트닝 이어팟","7,000 원","()","010-****-**04"
"402",402,"아이패드 6세대","200,000 원","(fate****)","010-****-**04"
"421",421,"갤럭시 s8+","200,000 원","(songy****)","010-****-**04"
"263",263,"애플워치","250,000 원","(tl****)","010-****-**25"
"265",265,"갤럭시 워치","260,000 원","()","010-****-**28"
"378",378,"갤럭시 기어","200,000 원","()","010-****-**28"
"273",273,"갤럭시s7 엣지 64gb","123,000 원","(qkrqhdrb****)","010-****-**98"
"341",341,"에어팟","130,000 원","()","010-****-**98"
"345",345,"에어팟2 무선충전","400,000 원","(skyflq****)","010-****-**98"
"380",380,"아이폰7","250,000 원","(hearz****)","010-****-**98"
"295",295,"아이폰7 ","203,000 원","(Fo****)","010-****-**49"
"321",321,"에어팟","150,000 원","(dasd121****)","010-****-**49"
"300",300,"아이폰 xr 128기가","570,000 원","(k****)","010-****-**95"
"373",373,"HBS-900","60,000 원","()","010-****-**95"
"309",309,"2700","208,000 원","()","010-****-**78"
"310",310,"피닉스5","350,000 원","(wki****)","010-****-**78"
"319",319,"갤럭시 s8플러스","213,500 원","()","010-****-**41"
"410",410,"갤럭시S8+","215,000 원","()","010-****-**41"
"333",333,"아이패드미니2 셀룰러 ","100,000 원","()","010-****-**06"
"353",353,"g6","73,000 원","(10k****)","010-****-**74"
"359",359,"듀얼스크린","80,000 원","(10k****)","010-****-**74"
"447",447,"lg g6","70,000 원","()","010-****-**74"
"514",514,"아이폰xs 256 스그","1,000,000 원","(bwent****)","010-****-**74"
"365",365,"갤럭시버즈","100,000 원","(happy10****)","010-****-**92"
"369",369,"아이폰7플러스 128g","150,000 원","()","010-****-**77"
"376",376,"에어팟 1세대","100,000 원","()","010-****-**54"
"483",483,"에어팟1세대 미개봉","140,000 원","()","010-****-**54"
"513",513,"에어팟1세대","144,000 원","()","010-****-**54"
"396",396,"갤럭시 s8 버건디레드 64ga","150,000 원","()","010-****-**02"
"431",431,"S10 5G","0 원","(qweqwe****)","010-****-**02"
"400",400,"LG G6 휴대폰","90,000 원","(mem****)","010-****-**17"
"407",407,"박효신 콘서트","332,000 원","()","010-****-**53"
"462",462,"갤럭시 버즈","110,000 원","()","010-****-**53"
"408",408,"삼성 버즈","93,000 원","()","010-****-**12"
"412",412,"에어팟2","160,000 원","()","010-****-**45"
"426",426,"에어팟","150,000 원","(kki****)","010-****-**64"
"498",498,"에어팟2","150,000 원","(kokk****)","010-****-**64"
"427",427,"기어 아이콘X (우측 이어버드)","33,000 원","()","010-****-**35"
"505",505,"아이폰se","100,000 원","(ielv****)","010-****-**43"
